name,symbol,quotedate,currentPrice,changeValue,changePercent,previousClose,open,volume,dayMinPrice,dayMaxPrice,priceToEarnings,marketCap,averageVolume,yearMinPrice,yearMaxPrice,dividendValue,earningsPerShare,dividendYield,currentPriceRank,changeValueRank,changePercentRank,volumeRank,priceToEarningsRank,marketCapRank,averageVolumeRank,yearMinPriceRank,yearMaxPriceRank,dividendValueRank,earningsPerShareRank,dividendYieldRank,currentPriceValue,changeValueValue,changePercentValue,volumeValue,priceToEarningsValue,marketCapValue,averageVolumeValue,yearMinPriceValue,yearMaxPriceValue,dividendValueValue,earningsPerShareValue,dividendYieldValue
ITXC CORP,ITXC,2003-11-19 12:00:00.0,3.5600,-0.1300,-3.5200,3.6900,3.7400,55228.0000,3.5500,3.7400,0.0000,153798128.0000,363227.0000,1.2100,4.8600,0.0000,-1.3500,0.0000,10.0000,9.0000,10.0000,6.0000,10.0000,10.0000,4.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000
HEWITT ASSOCIATES INC,HEW,2003-11-19 12:00:00.0,28.7000,-0.2000,-0.6900,28.9000,28.8000,48000.0000,28.7000,28.8600,29.5900,2799898110.0000,185300.0000,20.7000,36.3600,0.0000,0.9300,0.0000,4.0000,9.0000,9.0000,6.0000,3.0000,2.0000,6.0000,3.0000,3.0000,10.0000,5.0000,10.0000,7.0000,10.0000,10.0000,10.0000,8.0000,9.0000,10.0000,6.0000,6.0000,10.0000,10.0000,10.0000
PER-SE TECHNOLOGIES,PSTI,2003-11-19 12:00:00.0,12.7400,-0.2600,-2.0000,13.0000,13.3700,93536.0000,12.6200,13.3700,45.7200,394492896.0000,237863.0000,5.7500,17.2500,0.0000,0.3600,0.0000,8.0000,9.0000,10.0000,5.0000,2.0000,7.0000,5.0000,8.0000,7.0000,10.0000,7.0000,10.0000,10.0000,10.0000,10.0000,10.0000,6.0000,10.0000,10.0000,10.0000,9.0000,10.0000,10.0000,10.0000
ORLEANS HOMEBUILDERS INC,OHB,2003-11-19 12:00:00.0,27.0500,0.2000,0.7400,26.8500,26.9500,66300.0000,26.7300,28.2900,15.9700,333527296.0000,84818.0000,6.8200,35.0000,0.0000,1.6900,0.0000,4.0000,3.0000,4.0000,6.0000,6.0000,8.0000,8.0000,8.0000,3.0000,10.0000,3.0000,10.0000,7.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,6.0000,10.0000,10.0000,10.0000
PENWEST PHARMACEUTIC,PPCO,2003-11-19 12:00:00.0,15.1100,0.1100,0.7300,15.0000,15.0000,50168.0000,15.0000,15.2100,0.0000,275800864.0000,231636.0000,8.6000,25.0200,0.0000,-1.2500,0.0000,7.0000,5.0000,4.0000,6.0000,10.0000,8.0000,6.0000,7.0000,6.0000,10.0000,10.0000,10.0000,9.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,8.0000,10.0000,10.0000,10.0000
CHORDIANT SOFTWARE I,CHRD,2003-11-19 12:00:00.0,3.8600,-0.0400,-1.0300,3.9000,3.9500,63050.0000,3.8100,3.9500,0.0000,249640528.0000,760381.5000,0.7700,4.7500,0.0000,-0.3500,0.0000,10.0000,8.0000,9.0000,6.0000,10.0000,8.0000,3.0000,10.0000,10.0000,10.0000,9.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,9.0000,10.0000,10.0000,10.0000,10.0000,10.0000
GREAT SOUTHN BANCORP,GSBC,2003-11-19 12:00:00.0,43.0000,0.3300,0.7700,42.6700,42.6700,800.0000,42.6500,43.0000,12.9900,294533664.0000,5277.0000,35.7500,43.8600,0.7200,3.3100,1.6800,2.0000,2.0000,4.0000,10.0000,7.0000,8.0000,10.0000,1.0000,2.0000,2.0000,1.0000,3.0000,4.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,3.0000,4.0000,8.0000,5.0000,9.0000
THERMA-WAVE INC,TWAV,2003-11-19 12:00:00.0,5.6500,0.0600,1.0700,5.5900,5.5500,112444.0000,5.5000,5.8000,0.0000,199302496.0000,680727.0000,0.3700,6.9800,0.0000,-1.5500,0.0000,10.0000,5.0000,3.0000,5.0000,10.0000,9.0000,3.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,9.0000,10.0000,10.0000,10.0000,10.0000,10.0000
DIGITAS INC,DTAS,2003-11-19 12:00:00.0,8.1900,0.2000,2.5000,7.9900,7.8800,113342.0000,7.8800,8.2600,51.7600,496253792.0000,346586.0000,2.4700,9.3200,0.0000,0.1600,0.0000,9.0000,3.0000,1.0000,4.0000,1.0000,6.0000,5.0000,10.0000,9.0000,10.0000,8.0000,10.0000,10.0000,10.0000,9.0000,10.0000,6.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000
ODYSSEY HEALTHCARE INC,ODSY,2003-11-19 12:00:00.0,31.9400,0.6100,1.9500,31.3300,31.3500,142234.0000,31.1100,32.4200,40.1600,1155346300.0000,481831.5300,13.3800,36.0300,0.0000,0.8000,0.0000,3.0000,1.0000,2.0000,4.0000,2.0000,4.0000,4.0000,5.0000,3.0000,10.0000,6.0000,10.0000,6.0000,8.0000,10.0000,10.0000,7.0000,10.0000,9.0000,8.0000,6.0000,10.0000,10.0000,10.0000
